Race_ID,Race_Name,Driver_ID,Driver_Ref,Pit_Stop_Count,Pitted_On_Lap,Pit_Stop_Duration,Avg_Pit_Stop_Secs,Grid,Constructor_ID,Constructor_Nationality,Constructor_Name,Circuit_ID,Circuit_Name,Circuit_Country,Altitude_Metres,Race_Year,Status_ID,Race_Finish_Status,Fastest_Lap_Speed_KMH,Driver_Total_Points,Driver_Overall_Standing,Driver_Total_Wins,Avg_Lap_Time_Secs
983,Malaysian Grand Prix,830,max_verstappen,1.0,27,23.652,23,3.0,9,Austrian,Red Bull,2,Sepang International Circuit,Malaysia,18,2017,1,Finished,211.235,93,6,1,95.0
888,German Grand Prix,17,webber,1.0,8,0.0,162,3.0,9,Austrian,Red Bull,20,N++rburgring,Germany,578,2013,1,Finished,195.53,93,5,0,101.0
993,Spanish Grand Prix,838,vandoorne,1.0,34,27.416,27,11.0,1,British,McLaren,4,Circuit de Barcelona-Catalunya,Spain,109,2018,6,Gearbox,202.896,8,14,0,92.0
917,Brazilian Grand Prix,154,grosjean,1.0,24,25.591,25,14.0,208,British,Lotus F1,18,Aut+¦dromo Jos+® Carlos Pace,Brazil,785,2014,18,+8 Laps,209.428,8,14,0,77.0
881,Malaysian Grand Prix,8,raikkonen,2.0,21,22.677,22,10.0,208,British,Lotus F1,2,Sepang International Circuit,Malaysia,18,2013,1,Finished,196.079,31,2,1,106.0
975,Canadian Grand Prix,4,alonso,1.0,42,23.526,23,12.0,1,British,McLaren,7,Circuit Gilles Villeneuve,Canada,13,2017,131,Power Unit,206.974,0,19,0,80.0
885,Monaco Grand Prix,821,gutierrez,2.0,63,25.926,25,19.0,15,Swiss,Sauber,6,Circuit de Monaco,Monaco,7,2013,1,Finished,152.811,0,16,0,106.0
948,Australian Grand Prix,20,vettel,2.0,18,0.0,1089,3.0,6,Italian,Ferrari,1,Albert Park Grand Prix Circuit,Australia,10,2016,1,Finished,212.235,15,3,0,113.0
916,United States Grand Prix,826,kvyat,2.0,41,24.189,24,17.0,5,Italian,Toro Rosso,69,Circuit of the Americas,USA,161,2014,11,+1 Lap,195.171,8,15,0,109.0
970,Chinese Grand Prix,825,kevin_magnussen,1.0,2,23.809,23,12.0,210,American,Haas F1 Team,17,Shanghai International Circuit,China,5,2017,11,+1 Lap,201.209,4,10,0,106.0
949,Bahrain Grand Prix,826,kvyat,1.0,16,24.419,24,15.0,9,Austrian,Red Bull,3,Bahrain International Circuit,Bahrain,7,2016,11,+1 Lap,203.633,6,10,0,99.0
912,Italian Grand Prix,4,alonso,1.0,21,24.913,24,7.0,6,Italian,Ferrari,14,Autodromo Nazionale di Monza,Italy,162,2014,5,Engine,232.546,121,5,0,91.0
1033,Hungarian Grand Prix,1,hamilton,3.0,66,22.426,22,1.0,131,German,Mercedes,11,Hungaroring,Hungary,264,2020,1,Finished,205.823,63,1,2,81.0
992,Azerbaijan Grand Prix,840,stroll,1.0,23,19.737,19,10.0,3,British,Williams,73,Baku City Circuit,Azerbaijan,-7,2018,1,Finished,202.319,4,15,0,121.0
903,Chinese Grand Prix,13,massa,1.0,10,0.0,78,6.0,3,British,Williams,17,Shanghai International Circuit,China,5,2014,11,+1 Lap,191.676,12,11,0,106.0
900,Australian Grand Prix,818,vergne,2.0,33,22.978,22,6.0,5,Italian,Toro Rosso,1,Albert Park Grand Prix Circuit,Australia,10,2014,1,Finished,203.763,4,8,0,98.0
1011,Bahrain Grand Prix,832,sainz,2.0,24,25.034,25,7.0,1,British,McLaren,3,Bahrain International Circuit,Bahrain,7,2019,130,Collision damage,203.829,0,20,0,99.0
948,Australian Grand Prix,8,raikkonen,2.0,18,0.0,1089,4.0,6,Italian,Ferrari,1,Albert Park Grand Prix Circuit,Australia,10,2016,5,Engine,210.48,0,18,0,151.0
1012,Chinese Grand Prix,1,hamilton,1.0,22,22.644,22,2.0,131,German,Mercedes,17,Shanghai International Circuit,China,5,2019,1,Finished,204.642,68,1,2,98.0
896,Indian Grand Prix,1,hamilton,1.0,8,23.546,23,3.0,131,German,Mercedes,68,Buddh International Circuit,India,194,2013,1,Finished,207.182,169,4,1,91.0
948,Australian Grand Prix,828,ericsson,3.0,27,16.936,16,15.0,15,Swiss,Sauber,1,Albert Park Grand Prix Circuit,Australia,10,2016,5,Engine,203.327,0,17,0,127.0
880,Australian Grand Prix,824,jules_bianchi,1.0,9,23.371,23,19.0,206,Russian,Marussia,1,Albert Park Grand Prix Circuit,Australia,10,2013,11,+1 Lap,211.055,0,15,0,96.0
1023,Italian Grand Prix,20,vettel,3.0,41,24.376,24,4.0,6,Italian,Ferrari,14,Autodromo Nazionale di Monza,Italy,162,2019,11,+1 Lap,251.872,169,5,0,87.0
1060,Austrian Grand Prix,847,russell,1.0,30,21.606,21,8.0,3,British,Williams,70,Red Bull Ring,Austria,678,2021,11,+1 Lap,225.613,0,17,0,71.0
927,Malaysian Grand Prix,822,bottas,1.0,4,30.154,30,8.0,3,British,Williams,2,Sepang International Circuit,Malaysia,18,2015,1,Finished,191.71,10,7,0,109.0
884,Spanish Grand Prix,814,resta,2.0,19,19.792,19,10.0,10,Indian,Force India,4,Circuit de Barcelona-Catalunya,Spain,109,2013,1,Finished,193.117,26,8,0,90.0
909,German Grand Prix,1,hamilton,2.0,42,19.918,19,20.0,131,German,Mercedes,10,Hockenheimring,Germany,103,2014,1,Finished,206.066,176,2,5,83.0
885,Monaco Grand Prix,17,webber,1.0,25,24.316,24,4.0,9,Austrian,Red Bull,6,Circuit de Monaco,Monaco,7,2013,1,Finished,153.637,57,5,0,105.0
893,Singapore Grand Prix,820,chilton,3.0,41,29.687,29,22.0,206,Russian,Marussia,15,Marina Bay Street Circuit,Singapore,18,2013,11,+1 Lap,161.304,0,22,0,119.0
880,Australian Grand Prix,815,perez,2.0,23,22.004,22,15.0,1,British,McLaren,1,Albert Park Grand Prix Circuit,Australia,10,2013,1,Finished,212.294,0,11,0,94.0
982,Singapore Grand Prix,815,perez,4.0,11,30.128,30,12.0,10,Indian,Force India,15,Marina Bay Street Circuit,Singapore,18,2017,1,Finished,170.84,68,7,0,127.0
987,Brazilian Grand Prix,836,wehrlein,3.0,3,18.764,18,15.0,15,Swiss,Sauber,18,Aut+¦dromo Jos+® Carlos Pace,Brazil,785,2017,11,+1 Lap,207.351,5,18,0,78.0
